Sun,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto
-0.000128,0.342092,0.570084,-0.799287,-1.649654,-4.515248,8.905237,8.217342,29.793425,20.532354
-0.004441,-0.017478,-0.455184,-0.612128,0.037765,2.895633,2.854210,17.570324,2.002556,-29.122385
0.000070,-0.032383,-0.039026,0.000122,0.041396,0.089043,-0.404714,-0.041111,-0.727951,-2.817280
0.000117,-0.210202,0.474597,0.003866,-1.477099,-4.730446,8.790131,8.019983,29.780180,20.678370
-0.004215,-0.420246,0.540337,-1.017636,-0.644591,2.559011,3.143324,17.650404,2.175129,-29.061256
0.000064,-0.014647,-0.019830,0.000122,0.022859,0.095257,-0.405149,-0.038256,-0.731201,-2.865978
0.000342,-0.194505,-0.528813,0.805369,-0.995413,-4.918669,8.665448,7.821646,29.765942,20.823986
-0.003974,0.268012,0.479565,-0.615284,-1.190239,2.207770,3.429008,17.728338,2.347629,-28.999563
0.000058,0.040157,0.037236,0.000076,-0.000392,0.100928,-0.405142,-0.035396,-0.734427,-2.914620
0.000542,0.252702,-0.498248,0.958969,-0.282607,-5.079044,8.531274,7.622351,29.750708,20.969191
-0.003720,-0.320291,-0.526483,0.275236,-1.454551,1.844007,3.710935,17.804100,2.520051,-28.937311
0.000054,-0.048945,0.021649,0.000016,-0.023414,0.106029,-0.404692,-0.032532,-0.737628,-2.963206
0.000717,-0.383342,0.500072,0.319351,0.501544,-5.210855,8.387709,7.422124,29.734482,21.113993
-0.003456,-0.230840,-0.531870,0.929357,-1.328055,1.469851,3.988774,17.877678,2.692389,-28.874500
0.000049,0.016690,-0.036026,-0.000012,-0.039994,0.110533,-0.403796,-0.029664,-0.740804,-3.011734
0.000871,0.167697,0.550189,-0.590161,1.129815,-5.313532,8.234864,7.220984,29.717260,21.258390
-0.003183,0.255719,0.466642,0.783596,-0.801339,1.087458,4.262197,17.949068,2.864637,-28.811134
0.000045,0.005904,-0.025193,0.000013,-0.044363,0.114420,-0.402453,-0.026792,-0.743956,-3.060205
0.001000,0.012502,-0.450756,-0.992929,1.391285,-5.386654,8.072865,7.018960,29.699047,21.402380
-0.002899,-0.454498,0.553885,-0.040128,-0.016890,0.698999,4.530876,18.018250,3.036789,-28.747217
0.000041,-0.037921,0.033760,0.000066,-0.034338,0.117670,-0.400663,-0.023917,-0.747083,-3.108617
0.001099,-0.388596,-0.567988,-0.563758,1.208730,-5.429947,7.901843,6.816071,29.679840,21.545963
-0.002607,0.051825,-0.446327,-0.837927,0.774614,0.306653,4.794488,18.085215,3.208839,-28.682751
0.000038,0.040227,0.026775,0.000100,-0.013279,0.120270,-0.398425,-0.021040,-0.750184,-3.156969
0.001168,0.344815,0.419210,0.324818,0.671234,-5.443283,7.721949,6.612343,29.659641,21.689135
-0.002315,-0.051781,-0.597291,-0.963289,1.343295,-0.087400,5.052716,18.149948,3.380783,-28.617735
0.000036,-0.035523,-0.032263,0.000085,0.011812,0.122206,-0.395739,-0.018159,-0.753261,-3.205261
0.001214,-0.236918,0.613672,0.955529,-0.042031,-5.426674,7.533345,6.407800,29.638453,21.831894
-0.002027,-0.402573,0.382958,-0.323833,1.569288,-0.480986,5.305243,18.212442,3.552613,-28.552174
0.000034,-0.010862,-0.030012,0.000031,0.034029,0.123470,-0.392607,-0.015277,-0.756312,-3.253493
0.001239,-0.160126,-0.363123,0.811633,-0.748929,-5.380274,7.336202,6.202465,29.616272,21.974236
-0.001739,0.286374,0.616134,0.572343,1.441580,-0.871943,5.551754,18.272682,3.724325,-28.486073
0.000032,0.038378,0.029549,-0.000021,0.048676,0.124057,-0.389030,-0.012392,-0.759339,-3.301662
0.001238,0.229181,-0.625899,-0.010153,-1.304900,-5.304379,7.130707,5.996362,29.593100,22.116165
-0.001449,-0.341645,-0.356539,0.982054,1.019180,-1.258130,5.791942,18.330660,3.895912,-28.419437
0.000031,-0.048678,0.031335,-0.000028,0.053446,0.123963,-0.385010,-0.009506,-0.762340,-3.349770
0.001210,-0.395440,0.329154,-0.820690,-1.609834,-5.199423,6.917060,5.789515,29.568939,22.257677
-0.001163,-0.198623,-0.650165,0.544759,0.399695,-1.637433,6.025502,18.386366,4.067369,-28.352266
0.000031,0.020270,-0.027813,0.000017,0.047931,0.123191,-0.380549,-0.006619,-0.765315,-3.397815
0.001155,0.199518,0.663600,-0.931124,-1.605785,-5.065972,6.695464,5.581951,29.543789,22.398773
-0.000884,0.236012,0.291103,-0.361932,-0.296189,-2.007770,6.252139,18.439787,4.238691,-28.284559
0.000031,0.001199,-0.034178,0.000074,0.033239,0.121745,-0.375652,-0.003731,-0.768265,-3.445796
0.001077,-0.019611,-0.267989,-0.269791,-1.279004,-4.904727,6.466141,5.373692,29.517651,22.539452
